"","V1","V2","V3","V4","V5"
"1",506.277826376472,505.49294941254,479.499851905158,493.72297839667,496.76040177382
"2",506.277826376472,505.49294941254,479.499851905158,493.72297839667,496.76040177382
"3",506.277826376472,505.49294941254,479.499851905158,493.72297839667,496.76040177382
"4",506.277826376472,505.49294941254,479.499851905158,493.72297839667,496.76040177382
"5",506.277826376472,505.49294941254,479.499851905158,493.72297839667,496.76040177382
"6",506.277826376472,505.49294941254,479.499851905158,493.72297839667,496.76040177382
"7",506.277826376472,505.49294941254,479.499851905158,493.72297839667,496.76040177382
"8",506.277826376472,505.49294941254,479.499851905158,493.72297839667,496.76040177382
"9",506.277826376472,505.49294941254,479.499851905158,493.72297839667,496.76040177382
"10",506.277826376472,505.49294941254,479.499851905158,493.72297839667,496.76040177382
"11",506.277826376472,505.49294941254,479.499851905158,493.72297839667,496.76040177382
"12",506.277826376472,505.49294941254,479.499851905158,493.72297839667,496.76040177382
"13",506.277826376472,505.49294941254,479.499851905158,493.72297839667,496.76040177382
"14",506.277826376472,505.49294941254,475.964144095092,493.72297839667,496.76040177382
"15",506.277826376472,505.49294941254,475.964144095092,493.72297839667,496.76040177382
"16",506.277826376472,505.49294941254,475.964144095092,493.72297839667,496.76040177382
"17",506.277826376472,505.49294941254,475.964144095092,493.72297839667,496.76040177382
"18",506.277826376472,499.431412202861,475.964144095092,493.72297839667,496.76040177382
"19",506.277826376472,499.431412202861,475.964144095092,487.120651385524,496.76040177382
"20",506.277826376472,499.431412202861,476.050502228184,487.120651385524,496.76040177382
"21",506.277826376472,499.431412202861,476.050502228184,487.120651385524,496.76040177382
"22",506.277826376472,499.431412202861,476.050502228184,487.120651385524,496.76040177382
"23",506.277826376472,499.431412202861,476.050502228184,487.120651385524,496.76040177382
"24",506.277826376472,499.431412202861,476.050502228184,487.120651385524,496.76040177382
"25",507.224643966219,499.431412202861,476.050502228184,485.501304023805,496.76040177382
"26",507.224643966219,499.431412202861,476.050502228184,485.501304023805,496.76040177382
"27",507.224643966219,499.431412202861,476.050502228184,485.501304023805,496.76040177382
"28",507.224643966219,499.431412202861,476.050502228184,485.501304023805,496.76040177382
"29",507.224643966219,499.431412202861,476.050502228184,485.501304023805,496.76040177382
"30",500.476987428596,497.348053885192,474.098744925569,485.501304023805,496.175785467066
"31",500.476987428596,497.348053885192,474.098744925569,485.501304023805,496.175785467066
"32",500.476987428596,497.348053885192,474.098744925569,485.501304023805,496.175785467066
"33",500.476987428596,497.348053885192,474.098744925569,485.501304023805,496.175785467066
"34",500.476987428596,497.348053885192,474.098744925569,485.501304023805,496.175785467066
"35",500.476987428596,497.348053885192,474.098744925569,485.501304023805,496.175785467066
"36",500.476987428596,497.348053885192,474.098744925569,485.501304023805,496.175785467066
"37",500.476987428596,498.261952122348,474.098744925569,485.501304023805,496.175785467066
"38",500.476987428596,498.261952122348,474.098744925569,485.501304023805,496.175785467066
"39",500.476987428596,498.261952122348,475.958490341879,485.501304023805,492.986995549172
"40",497.121607020064,497.886965628453,478.417791010876,485.501304023805,474.740624003409
"41",497.121607020064,497.230551723179,477.449168897956,487.354799963936,474.740624003409
"42",478.01314585677,496.166071506646,477.449168897956,487.354799963936,491.765616137636
"43",497.852964537123,497.886965628453,477.449168897956,486.267710466923,474.740624003409
"44",497.121607020064,496.166071506646,477.449168897956,485.503875000757,491.765616137636
"45",497.121607020064,496.166071506646,477.449168897956,485.503875000757,491.765616137636
"46",497.121607020064,496.166071506646,477.449168897956,484.781586396109,490.231926188721
"47",497.121607020064,496.166071506646,477.449168897956,484.781586396109,490.231926188721
"48",497.591658860484,495.843069230783,476.317553305615,484.781586396109,490.353979958851
"49",497.121607020064,479.050343633219,476.317553305615,468.78272718126,491.666249515322
"50",497.591658860484,495.399513567575,476.317553305615,482.110171710662,490.353979958851
"51",497.688469035366,495.399513567575,476.317553305615,484.754407014765,490.353979958851
"52",497.688469035366,495.399513567575,476.317553305615,482.110171710662,490.353979958851
"53",497.688469035366,495.399513567575,476.317553305615,482.110171710662,490.353979958851
"54",497.688469035366,495.399513567575,476.317553305615,484.781586396109,491.666249515322
"55",497.688469035366,495.399513567575,476.317553305615,482.110171710662,490.353979958851
"56",499.064266634889,495.399513567575,476.317553305615,482.110171710662,490.353979958851
"57",498.594214794468,495.689133322082,476.317553305615,484.781586396109,491.666249515322
"58",499.064266634889,495.399513567575,476.317553305615,482.110171710662,490.353979958851
"59",497.688469035366,498.216974362834,476.250881141938,483.03263499806,490.353979958851
"60",497.688469035366,495.399513567575,476.250881141938,484.781586396109,490.353979958851
"61",499.064266634889,495.843069230783,476.250881141938,484.781586396109,490.353979958851
"62",497.688469035366,495.494775600392,476.250881141938,483.03263499806,491.666249515322
"63",497.688469035366,498.905421731139,476.250881141938,482.110171710662,489.675471889675
"64",497.218417194945,479.050343633219,476.317553305615,468.691690871318,491.666249515322
"65",497.688469035366,495.494775600392,476.250881141938,483.03263499806,491.666249515322
"66",497.218417194945,479.050343633219,476.317553305615,468.78272718126,474.745815533274
"67",497.688469035366,495.399513567575,476.317553305615,484.781586396109,491.666249515322
"68",497.688469035366,495.399513567575,476.317553305615,484.781586396109,491.666249515322
"69",497.688469035366,496.115577364738,476.250881141938,482.110171710662,491.666249515322
"70",498.594214794468,496.813085902985,476.317553305615,468.691690871318,491.666249515322
"71",497.688469035366,495.399513567575,476.317553305615,484.781586396109,491.666249515322
"72",497.688469035366,495.482024739368,476.250881141938,482.110171710662,491.666249515322
"73",497.688469035366,495.482024739368,476.250881141938,482.110171710662,490.353979958851
"74",497.688469035366,495.399513567575,476.317553305615,484.781586396109,491.666249515322
"75",497.218417194945,478.670569070112,476.317553305615,468.691690871318,491.666249515322
"76",497.688469035366,496.115577364738,476.250881141938,482.119206306354,490.353979958851
"77",497.688469035366,495.482024739368,476.250881141938,483.03263499806,490.987741446146
"78",497.218417194945,496.813085902985,476.317553305615,468.691690871318,491.666249515322
"79",497.688469035366,495.482024739368,476.250881141938,483.03263499806,491.666249515322
"80",497.688469035366,495.482024739368,476.250881141938,483.03263499806,491.666249515322
"81",497.688469035366,495.482024739368,476.250881141938,482.110171710662,491.666249515322
"82",497.688469035366,496.115577364738,476.250881141938,482.119206306354,490.353979958851
"83",497.688469035366,495.482024739368,476.250881141938,483.03263499806,491.666249515322
"84",497.688469035366,495.482024739368,476.250881141938,483.03263499806,490.987741446146
"85",496.587084382201,499.0875542506,476.250881141938,483.03263499806,489.675471889675
"86",498.2871479984,495.482024739368,476.250881141938,483.03263499806,489.675471889675
"87",497.570365694495,497.886965628453,476.317553305615,486.630308828312,495.760561835095
"88",497.688469035366,495.482024739368,476.250881141938,483.03263499806,489.329071675983
"89",497.218417194945,478.670569070112,476.317553305615,487.025946233016,491.666249515322
"90",499.064266634889,495.843069230783,476.317553305615,482.527687684137,490.353979958851
"91",497.688469035366,495.494775600392,476.317553305615,482.527687684137,491.666249515322
"92",497.688469035366,495.482024739368,476.317553305615,482.527687684137,491.666249515322
"93",497.218417194945,499.970323946122,476.317553305615,486.630308828312,475.465580238003
"94",497.688469035366,493.817848685953,476.317553305615,483.450150971535,491.666249515322
"95",497.688469035366,493.817848685953,476.250881141938,483.450150971535,490.353979958851
"96",497.688469035366,493.817848685953,476.250881141938,483.450150971535,490.987741446146
"97",497.688469035366,494.451401311323,476.317553305615,482.527687684137,491.666249515322
"98",498.2871479984,493.817848685953,476.250881141938,483.450150971535,490.987741446146
"99",497.852964537123,497.886965628453,476.317553305615,486.630308828312,495.760561835095
"100",497.570365694495,497.886965628453,476.317553305615,486.630308828312,495.760561835095
